Id,SalePrice
1461,133098.06634486292
1462,162760.53447771256
1463,195728.63856850078
1464,180513.0837620177
1465,190546.02400996862
1466,176921.05594475692
1467,195093.52925097247
1468,164596.20250544633
1469,172478.0670972651
1470,116783.43494272347
1471,194318.1058011604
1472,86156.7875549073
1473,99876.16275198442
1474,147701.32300250488
1475,118120.94547785424
1476,391354.0677500825
1477,254952.00852183794
1478,308643.20597625006
1479,309668.3425826853
1480,468753.2381148252
1481,324804.89487386594
1482,214577.51241355928
1483,149689.14145552495
1484,168524.71975271014
1485,166386.55042936065
1486,200404.60825010735
1487,324666.1528918956
1488,226336.19557256307
1489,215428.2335402515
1490,203657.4157638021
1491,199077.10418445908
1492,105299.2782499489
1493,192510.6510230952
1494,316035.6992107289
1495,296026.60550564376
1496,266298.8411618525
1497,182465.25183262138
1498,174581.5967253954
1499,162041.28418953868
1500,156073.92623729858
1501,175026.8690314165
1502,159263.19801009327
1503,287599.594075657
1504,252507.10836963772
1505,232376.99142442795
1506,182549.1451013135
1507,266310.01574037626
1508,190630.5420135736
1509,152432.89012825396
1510,151693.58571929715
1511,148325.6580033321
1512,193134.2208075843
1513,146927.36588655267
1514,136343.82567954148
1515,205742.51155775663
1516,157478.1455644926
1517,167672.66645286093
1518,140971.99977263928
1519,228026.98091488425
1520,130927.1468446605
1521,142864.89257413612
1522,167213.56891318728
1523,106876.84694941694
1524,118980.07383882476
1525,115551.28651176135
1526,126959.4665769327
1527,100419.70034909651
1528,131531.87160134848
1529,144858.47306760386
1530,155942.85001406493
1531,111742.65902592667
1532,102843.34830467009
1533,145190.26905990613
1534,123267.2195620065
1535,139865.60961839257
1536,108021.23663154653
1537,77655.25961298912
1538,170228.5252458765
1539,213002.90616423136
1540,87348.8822898416
1541,142174.97617878896
1542,140543.2473483611
1543,184391.22223010616
1544,74233.62517894366
1545,91165.9598501189
1546,119867.16863087978
1547,115547.6500252763
1548,126704.85307560032
1549,110180.86701119253
1550,150305.39370601682
1551,110602.925663425
1552,137231.41006680153
1553,129925.98120755925
1554,107390.96971413698
1555,196390.91108104365
1556,78952.1319414091
1557,87014.39884773969
1558,80106.9317610579
1559,59393.01556064693
1560,136310.02269329457
1561,147748.51829211283
1562,133535.04811533724
1563,121786.62138185522
1564,148491.67682192134
1565,138164.95482610838
1566,233187.50695517298
1567,93388.97529394692
1568,219122.69939336576
1569,142981.15818953034
1570,146500.1990798578
1571,127247.10998510162
1572,143302.64087815376
1573,231249.0734117498
1574,119559.25927567927
1575,208093.9012648923
1576,250273.66279449078
1577,198499.4565327489
1578,149162.16440111364
1579,149853.1135826935
1580,190687.6355894673
1581,147227.53071019193
1582,127714.07891799179
1583,341701.72852823744
1584,238829.19589147175
1585,140487.23293490763
1586,80425.21665335867
1587,98572.58976668061
1588,139653.819396364
1589,107344.07342421914
1590,133116.7266873234
1591,99839.59370519026
1592,113584.86197235093
1593,124267.55037018612
1594,118995.5065203297
1595,89110.0882099084
1596,196532.368191942
1597,164208.94000541352
1598,194568.8148789569
1599,179653.8652468282
1600,184243.21665832796
1601,80021.03243547678
1602,131270.46684994633
1603,57799.91941887931
1604,283579.90496691724
1605,244694.63935031823
1606,166122.08496053543
1607,158476.71019474012
1608,233682.39306692485
1609,197420.15146000654
1610,166210.03486697917
1611,148263.14834715752
1612,168506.88103255432
1613,175476.791276109
1614,129918.91869645329
1615,91738.87872058926
1616,69949.04633638763
1617,85589.25798934804
1618,125732.49683843895
1619,144097.07633982462
1620,157680.72224720407
